"route","region","location.bcr","location.statenum","location.routename","nyears_start","nyears_end","complete_coverage","matssname","window","nreq"
22,25,31,25,"POLK CITY",5,5,TRUE,"bbs_rtrg_22_25",4,5
27,25,31,25,"FT LONESOME",5,5,TRUE,"bbs_rtrg_27_25",4,5
67,25,31,25,"PENNYWASH CR",5,5,TRUE,"bbs_rtrg_67_25",4,5
81,25,31,25,"DEVILS GARDN",5,5,TRUE,"bbs_rtrg_81_25",4,5
85,25,31,25,"ARIPEKA",5,5,TRUE,"bbs_rtrg_85_25",4,5
87,25,31,25,"WEAVER STN",5,5,TRUE,"bbs_rtrg_87_25",4,5
7,14,32,14,"RED BLUFF",5,5,TRUE,"bbs_rtrg_7_14",4,5
21,14,32,14,"HUGHSON",5,5,TRUE,"bbs_rtrg_21_14",4,5
79,14,32,14,"COHASSET",5,5,TRUE,"bbs_rtrg_79_14",4,5
98,14,32,14,"FOLSOM",5,5,TRUE,"bbs_rtrg_98_14",4,5
137,14,32,14,"JACUMBA",5,5,TRUE,"bbs_rtrg_137_14",4,5
153,14,32,14,"GOLD HILL",5,5,TRUE,"bbs_rtrg_153_14",4,5
155,14,32,14,"WESTLEY",5,5,TRUE,"bbs_rtrg_155_14",4,5
161,14,32,14,"TEHAMA",5,5,TRUE,"bbs_rtrg_161_14",4,5
173,14,32,14,"LOCKWOOD",5,5,TRUE,"bbs_rtrg_173_14",4,5
186,14,32,14,"MARK WEST",5,5,TRUE,"bbs_rtrg_186_14",4,5
88,14,33,14,"COTTONWOOD",5,5,TRUE,"bbs_rtrg_88_14",4,5
139,14,33,14,"GREENWATER V",5,5,TRUE,"bbs_rtrg_139_14",4,5
28,6,34,6,"POMERENE",5,5,TRUE,"bbs_rtrg_28_6",4,5
32,6,34,6,"PATAGONIA",5,5,TRUE,"bbs_rtrg_32_6",4,5
122,6,34,6,"CARR MTN",5,5,TRUE,"bbs_rtrg_122_6",4,5
22,60,35,60,"CARRIZOZO",5,5,TRUE,"bbs_rtrg_22_60",4,5
23,60,35,60,"ROSWELL",5,5,TRUE,"bbs_rtrg_23_60",4,5
29,60,35,60,"LAKEWOOD",5,5,TRUE,"bbs_rtrg_29_60",4,5
31,60,35,60,"RODEO",5,5,TRUE,"bbs_rtrg_31_60",4,5
126,60,35,60,"LAKE VALLEY",5,5,TRUE,"bbs_rtrg_126_60",4,5
2,83,36,83,"RACHAL",5,5,TRUE,"bbs_rtrg_2_83",4,5
7,83,36,83,"RANDADO",5,5,TRUE,"bbs_rtrg_7_83",4,5
30,83,36,83,"HONDO",5,5,TRUE,"bbs_rtrg_30_83",4,5
11,83,37,83,"HINKLES FER",5,5,TRUE,"bbs_rtrg_11_83",4,5
