Sequence,Order_,FamilyName,Family,Subfamily,Tribe,CommonName,Scientific,Authority,BirdLifeTa,RedListCat,Synonyms,Alternativ,TaxonomicN,SISRecID
7967,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Laura's Woodland-warbler,Phylloscopus laurae,"(Boulton, 1931)",R,LC,NA,"Laura's Warbler, Laura's Woodland-Warbler, Pouillot de Laura, Laura's Woodland Warbler",NA,22715200
7968,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Yellow-throated Woodland-warbler,Phylloscopus ruficapilla,"(Sundevall, 1850)",R,LC,Phylloscopus ruficapillus,"Pouillot à calotte rousse, Yellow-throated Woodland-Warbler, Yellow-throated Woodland Warbler",NA,22715207
7969,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Chestnut-crowned Warbler,Phylloscopus castaniceps,"(Hodgson, 1845)",R,LC,Seicercus castaniceps,NA,Phylloscopus castaniceps (del Hoyo and Collar 2016) was previously listed as Seicercus castaniceps.,22715436
7970,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Sumatran Warbler,Phylloscopus sumatrensis,"(Robinson & Kloss, 1916)",R,LC,NA,NA,"Phylloscopus sumatrensis and P. grammiceps (del Hoyo and Collar 2016) were previously lumped as Seicercus grammiceps following Sibley & Monroe (1990, 1993).",103845379
7971,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Javan Warbler,Phylloscopus grammiceps,"(Strickland, 1849)",R,LC,NA,NA,"Phylloscopus sumatrensis and P. grammiceps (del Hoyo and Collar 2016) were previously lumped as Seicercus grammiceps following Sibley & Monroe (1990, 1993).",103845369
7972,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Yellow-breasted Warbler,Phylloscopus montis,"(Sharpe, 1887)",R,LC,Seicercus montis,NA,Phylloscopus montis (del Hoyo and Collar 2016) was previously listed as Seicercus montis.,22715439
7973,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Emei Leaf-warbler,Phylloscopus emeiensis,"Alström & Olsson, 1995",R,LC,NA,Emei Leaf Warbler,NA,22724433
7974,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Green Warbler,Phylloscopus nitidus,"Blyth, 1843",R,LC,NA,NA,"Phylloscopus trochiloides , P. nitidus and P. plumbeitarsus (del Hoyo and Collar 2016) were previously lumped as P. trochiloides (see AERC TAC [2003]; Cramp et al. [1977-1994]; Sibley & Monroe [1990, 1993]).",22731553
7975,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Greenish Warbler,Phylloscopus trochiloides,"(Sundevall, 1837)",R,LC,NA,NA,"Phylloscopus trochiloides , P. nitidus and P. plumbeitarsus (del Hoyo and Collar 2016) were previously lumped as P. trochiloides (see AERC TAC [2003]; Cramp et al. [1977-1994]; Sibley & Monroe [1990, 1993]).",103845399
7976,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Two-barred Warbler,Phylloscopus plumbeitarsus,"(Sundevall, 1837)",R,LC,NA,NA,"Phylloscopus trochiloides , P. nitidus and P. plumbeitarsus (del Hoyo and Collar 2016) were previously lumped as P. trochiloides (see AERC TAC [2003]; Cramp et al. [1977-1994]; Sibley & Monroe [1990, 1993]).",103845702
7977,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Arctic Warbler,Phylloscopus borealis,"(Blasius, 1858)",R,LC,NA,NA,"Phylloscopus borealis , P. examinandus and P. xanthodryas (del Hoyo and Collar 2016) were previously lumped as P. borealis following AERC TAC (2003), AOU (1998 & supplements), Christidis & Boles (2008), Cramp et al. (1977-1994), Sibley & Monroe (1990, 19",103845882
7978,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Kamchatka Leaf-warbler,Phylloscopus examinandus,"Stresemann, 1913",R,LC,NA,NA,"Phylloscopus borealis , P. examinandus and P. xanthodryas (del Hoyo and Collar 2016) were previously lumped as P. borealis following AERC TAC (2003), AOU (1998 & supplements), Christidis & Boles (2008), Cramp et al. (1977-1994), Sibley & Monroe (1990, 19",103845868
7979,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Japanese Leaf-warbler,Phylloscopus xanthodryas,"(Swinhoe, 1863)",R,LC,NA,NA,"Phylloscopus borealis , P. examinandus and P. xanthodryas (del Hoyo and Collar 2016) were previously lumped as P. borealis following AERC TAC (2003), AOU (1998 & supplements), Christidis & Boles (2008), Cramp et al. (1977-1994), Sibley & Monroe (1990, 19",22735629
7980,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Sakhalin Leaf-warbler,Phylloscopus borealoides,"Portenko, 1950",R,LC,NA,"Sakhalin Leaf-Warbler, Sakhalin Leaf Warbler",NA,22715329
7981,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Pale-legged Leaf-warbler,Phylloscopus tenellipes,"Swinhoe, 1860",R,LC,NA,"Pale-legged Leaf-Warbler, Pale-legged Leaf Warbler",NA,22715324
7982,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Large-billed Leaf-warbler,Phylloscopus magnirostris,"Blyth, 1843",R,LC,NA,"Large-billed Leaf-Warbler, Large-billed Leaf Warbler",NA,22715334
7983,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Limestone Leaf-warbler,Phylloscopus calciatilis,"(Alström, Davidson, Duckworth, Eames, Le, Nguyen, Olsson, Robson & Timmins, 2009)",R,LC,NA,NA,Phylloscopus calciatilis (del Hoyo and Collar 2016) is recognised as a species following work by Alström et al. (2009),103845991
7984,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Yellow-vented Warbler,Phylloscopus cantator,"(Tickell, 1833)",R,LC,NA,NA,NA,22715369
7985,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Sulphur-breasted Warbler,Phylloscopus ricketti,"(Slater, 1897)",R,LC,NA,NA,NA,22715372
7986,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Claudia's Leaf-warbler,Phylloscopus claudiae,"(La Touche, 1922)",R,LC,NA,Claudia's Warbler,NA,22734268
7987,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Blyth's Leaf-warbler,Phylloscopus reguloides,"(Blyth, 1842)",R,LC,NA,"Blyth's Leaf Warbler, Southern Blyth's Leaf-warbler",NA,22734278
7988,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Western Crowned Leaf-warbler,Phylloscopus occipitalis,"(Blyth, 1845)",R,LC,NA,"Western Crowned-Warbler, Western Crowned Warbler",NA,22715344
7989,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Hartert's Leaf-warbler,Phylloscopus goodsoni,"E. Hartert, 1910",R,LC,NA,Hartert's Warbler,NA,22734273
7990,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Mountain Warbler,Phylloscopus trivirgatus,"Strickland, 1849",R,LC,NA,"Mountain Leaf Warbler, Mountain Leaf-Warbler, Mountain Leaf-warbler",NA,22715385
7991,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Sulawesi Leaf-warbler,Phylloscopus sarasinorum,"(Meyer & Wiglesworth, 1896)",R,LC,NA,"Sulawesi Leaf Warbler, Sulawesi Leaf-Warbler",NA,22715392
7992,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Island Leaf-warbler,Phylloscopus poliocephalus,"(Salvadori, 1876)",R,LC,Phylloscopus makirensis,NA,"Phylloscopus poliocephalus and P. makirensis (Sibley & Monroe [1990, 1993]) have been lumped and subsequently split into P. poliocephalus, P. misoriensis and P. maforensis following del Hoyo and Collar (2016).",103866004
7993,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Biak Leaf-warbler,Phylloscopus misoriensis,"Meise, 1931",R,VU,NA,NA,"Phylloscopus poliocephalus and P. makirensis (Sibley & Monroe [1990, 1993]) have been lumped and subsequently split into P. poliocephalus, P. misoriensis and P. maforensis following del Hoyo and Collar (2016).",103866018
7994,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Numfor Leaf-warbler,Phylloscopus maforensis,"Meyer, 1874",R,VU,NA,NA,"Phylloscopus poliocephalus and P. makirensis (Sibley & Monroe [1990, 1993]) have been lumped and subsequently split into P. poliocephalus, P. misoriensis and P. maforensis following del Hoyo and Collar (2016).",103866023
7995,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Timor Leaf-warbler,Phylloscopus presbytes,"(Blyth, 1870)",R,LC,NA,"Timor Leaf Warbler, Timor Leaf-Warbler",Phylloscopus presbytes has been split into Timor Leaf-warbler P. presbytes and Rote Leaf-warbler P. rotiensis after Ng et al. (2018).,155223332
7996,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Rote Leaf-warbler,Phylloscopus rotiensis,"Ng et al., 2018",R,NT,NA,NA,"Phylloscopus presbytes has been split into Timor Leaf-warbler P. presbytes and Rote Leaf-warbler P. rotiensis after Ng et al. (2018). The previously undescribed taxon, in comparison with P. presbytes, differs by its; greater bill length, possibly related",155224052
7997,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Kolombangara Leaf-warbler,Phylloscopus amoenus,"(Hartert, 1929)",R,VU,NA,"Kolombangara Leaf Warbler, Sombre Leaf-Warbler, Kulambangra Warbler, Sombre Leaf-warbler","The previously undescribed taxon, in comparison with P. presbytes, differs by its; greater bill length, possibly related to a bark-gleaning habit unusual in leaf-warblers (16.3 [n=1] vs 13.4 [n=2] (allow 3); much stronger pale yellow median crown-strip",22715412
7998,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Hainan Leaf-warbler,Phylloscopus hainanus,"Olsson, Alström & Colston, 1993",R,VU,NA,Hainan Leaf Warbler,NA,22715363
7999,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Grey-hooded Warbler,Phylloscopus xanthoschistos,"(Gray, 1846)",R,LC,Seicercus xanthoschistos,NA,"The proposed treatment of P. presbytes floresianus in Ng et al. (2018), called Seicercus floris in Eaton et al. (2016) is not accepted: the latter suggested 'differences in plumage and voice', but no vocal differences were found by Ng et al. (2",22715423
8000,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,White-tailed Leaf-warbler,Phylloscopus intensior,"Deignan, 1956",R,LC,Phylloscopus davisoni,Davison's Leaf-warbler,Phylloscopus intensior (del Hoyo and Collar 2016) was previously listed as P. davisoni.,22734251
8001,PASSERIFORMES,Phylloscopidae,Leaf-warblers,NA,NA,Kloss's Leaf-warbler,Phylloscopus ogilviegranti,"(La Touche, 1922)",R,LC,NA,NA,NA,22734257
8002,PASSERIFORMES,Scotocercidae,Bush-warblers,Erythrocercinae,NA,Little Yellow Flycatcher,Erythrocercus holochlorus,"Erlanger, 1901",R,LC,NA,"Petit Gobemouche jaune, Yellow Flycatcher",NA,22707012
8003,PASSERIFORMES,Scotocercidae,Bush-warblers,Erythrocercinae,NA,Chestnut-capped Flycatcher,Erythrocercus mccallii,"(Cassin, 1855)",R,LC,NA,Gobemouche à tête rousse,NA,22707008
8004,PASSERIFORMES,Scotocercidae,Bush-warblers,Erythrocercinae,NA,Livingstone's Flycatcher,Erythrocercus livingstonei,"Gray, 1870",R,LC,NA,Gobemouche de Livingstone,NA,22707017
8005,PASSERIFORMES,Scotocercidae,Bush-warblers,Scotocercinae,NA,Streaked Scrub-warbler,Scotocerca inquieta,"(Cretzschmar, 1827)",R,LC,NA,"Streaked Scrub-Warbler, Dromoïque du désert, Streaked Scrub Warbler, Scrub Warbler",NA,22713547
8006,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Slaty-bellied Tesia,Tesia olivea,"(McClelland, 1840)",R,LC,NA,NA,NA,22714350
8007,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Grey-bellied Tesia,Tesia cyaniventer,"Hodgson, 1837",R,LC,NA,NA,NA,22714353
8008,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Javan Tesia,Tesia superciliaris,"(Bonaparte, 1850)",R,LC,NA,NA,NA,22714356
8009,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Russet-capped Tesia,Tesia everetti,"(Hartert, 1897)",R,LC,NA,NA,NA,22714359
8010,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Chestnut-crowned Bush-warbler,Cettia major,"(Horsfield & Moore, 1854)",R,LC,NA,"Chestnut-crowned Bush-Warbler, Chestnut-crowned Bush Warbler",NA,22714423
8011,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Grey-sided Bush-warbler,Cettia brunnifrons,"(Hodgson, 1845)",R,LC,NA,"Grey-sided Bush Warbler, Grey-sided Bush-Warbler",NA,22714440
8012,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Chestnut-headed Tesia,Cettia castaneocoronata,"(Burton, 1836)",R,LC,Tesia castaneocoronata,NA,Cettia castaneocoronata (del Hoyo and Collar 2016) was previously listed as Tesia castaneocoronata.,22714347
8013,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Cetti's Warbler,Cettia cetti,"(Temminck, 1820)",R,LC,NA,NA,NA,22714445
8014,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Neumann's Warbler,Hemitesia neumanni,"(Rothschild, 1908)",R,LC,NA,"Neumann's Short-tailed Warbler, Fauvette de Neumann",NA,22715145
8015,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Pale-footed Bush-warbler,Hemitesia pallidipes,"(Blanford, 1872)",R,LC,Cettia pallidipes,"Pale-footed Bush-Warbler, Pale-footed Bush Warbler",Hemitesia pallidipes (del Hoyo and Collar 2016) was previously listed as Cettia pallidipes.,22714371
8016,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Asian Stubtail,Urosphena squameiceps,"(Swinhoe, 1863)",R,LC,NA,NA,NA,22714368
8017,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Bornean Stubtail,Urosphena whiteheadi,"(Sharpe, 1888)",R,LC,NA,NA,NA,22714365
8018,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Timor Stubtail,Urosphena subulata,"(Sharpe, 1884)",R,LC,NA,NA,NA,22714362
8019,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Yellow-bellied Warbler,Abroscopus superciliaris,"(Blyth, 1859)",R,LC,NA,Yellow-belled Warbler,NA,22731005
8020,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Rufous-faced Warbler,Abroscopus albogularis,"(Hodgson, 1854)",R,LC,NA,NA,NA,22715451
8021,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Black-faced Warbler,Abroscopus schisticeps,"(Gray, 1846)",R,LC,NA,NA,NA,22715454
8022,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Mountain Tailorbird,Phyllergates cucullatus,"(Temminck, 1836)",R,LC,Orthotomus cuculatus,NA,Phyllergates cucullatus (del Hoyo and Collar 2016) was previously listed as Orthotomus cucullatus.,22714976
8023,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Rufous-headed Tailorbird,Phyllergates heterolaemus,"Mearns, 1905",R,LC,Orthotomus heterolaemus,NA,Phyllergates heterolaemus (del Hoyo and Collar 2016) was previously listed as Orthotomus heterolaemus.,22714979
8024,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Broad-billed Warbler,Tickellia hodgsoni,"(Moore, 1854)",R,LC,Abroscopus hodgsoni,NA,NA,22715445
8025,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Brownish-flanked Bush-warbler,Horornis fortipes,"(Hodgson, 1845)",R,LC,Cettia fortipes,"Brownish-flanked Bush-Warbler, Brown-flanked Bush Warbler",Horornis fortipes (del Hoyo and Collar 2016) was previously listed as Cettia fortipes.,22714408
8026,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Hume's Bush-warbler,Horornis brunnescens,"(Hume, 1872)",R,LC,Cettia brunnescens,NA,Horornis brunnescens (del Hoyo and Collar 2016) was previously listed as Cettia brunnescens.,22735325
8027,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Yellowish-bellied Bush-warbler,Horornis acanthizoides,"(Verreaux, 1871)",R,LC,Cettia acanthizoides,NA,Horornis acanthizoides (del Hoyo and Collar 2016) was previously listed as Cettia acanthizoides.,22735889
8028,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Aberrant Bush-warbler,Horornis flavolivaceus,"(Blyth, 1845)",R,LC,Horornis vulcania,NA,"Cettia flavolivacea and C. vulcania (Sibley & Monroe [1990, 1993]) have been lumped into Horornis flavolivaceus following del Hoyo and Collar (2016).",105295705
8029,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Philippine Bush-warbler,Horornis seebohmi,"(Ogilvie-Grant, 1894)",R,LC,Cettia seebohmi,"Philippine Bush Warbler, Philippine Bush-Warbler",Horornis seebohmi (del Hoyo and Collar 2016) was previously listed as Cettia seebohmi.,22714386
8030,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Korean Bush-warbler,Horornis canturians,"(Swinhoe, 1860)",R,LC,Cettia canturians,"Manchurian Bush-Warbler, Manchurian Bush-warbler",Horornis canturians (del Hoyo and Collar 2016) was previously listed as Cettia canturians.,22714376
8031,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Japanese Bush-warbler,Horornis diphone,"(Kittlitz, 1830)",R,LC,Cettia diphone,"Japanese Bush-Warbler, Japanese Bush Warbler",Horornis diphone (del Hoyo and Collar 2016) was previously listed as Cettia diphone.,22714380
8032,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Palau Bush-warbler,Horornis annae,"(Hartlaub & Finsch, 1868)",R,LC,Cettia annae,"Palau Bush-Warbler, Palau Bush Warbler",Horornis annae (del Hoyo and Collar 2016) was previously listed as Cettia annae.,22714391
8033,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Tanimbar Bush-warbler,Horornis carolinae,"(Rozendaal, 1987)",R,NT,Cettia carolinae,"Tanimbar Bush-Warbler, Tanimbar Bush Warbler",Horornis carolinae (del Hoyo and Collar 2016) was previously listed as Cettia carolinae.,22714418
8034,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Shade Bush-warbler,Horornis parens,"(Mayr, 1935)",R,LC,Vitia parens; Cettia parens,"Shade Bush Warbler, Shade Warbler",Horornis parens (del Hoyo and Collar 2016) was previously listed as Cettia parens.,22714396
8035,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Bougainville Bush-warbler,Horornis haddeni,"(Lecroy & Barker, 2006)",R,NT,Cettia haddeni,Odedi,Horornis haddeni (del Hoyo and Collar 2016) was previously listed as Cettia haddeni.,22734397
8036,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Fiji Bush-warbler,Horornis ruficapilla,"(Ramsay, 1876)",R,LC,Cettia ruficapilla,"Fiji Bush Warbler, Fiji Bush-Warbler",Horornis ruficapilla (del Hoyo and Collar 2016) was previously listed as Cettia rufocapilla.,22714403
8037,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Green Hylia,Hylia prasina,"(Cassin, 1855)",R,LC,NA,Hylia verte,NA,22715182
8038,PASSERIFORMES,Scotocercidae,Bush-warblers,Cettiinae,NA,Tit-hylia,Pholidornis rushiae,"(Cassin, 1855)",R,LC,NA,"Tit-Hylia, Astrild-mésange",NA,22711688
8039,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,White-browed Tit-warbler,Leptopoecile sophiae,"Severtsov, 1873",R,LC,NA,White-browed Tit-Warbler,NA,22715186
8040,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,Crested Tit-warbler,Leptopoecile elegans,"Przewalski, 1887",R,LC,NA,Crested Tit-Warbler,NA,22715190
8041,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,American Bushtit,Psaltriparus minimus,"(Townsend, 1837)",R,LC,NA,Bushtit,NA,22712028
8042,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,Red-headed Tit,Aegithalos iredalei,"(Baker, 1920)",R,LC,NA,Red-headed Bushtit,"Aegithalos concinnus, A. iredalei and A. annamensis (del Hoyo and Collar 2016) were previously lumped as A. concinnus following Sibley & Monroe (1990, 1993).",103871108
8043,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,Black-throated Tit,Aegithalos concinnus,"(Gould, 1855)",R,LC,NA,Black-throated Bushtit,"Aegithalos concinnus, A. iredalei and A. annamensis (del Hoyo and Collar 2016) were previously lumped as A. concinnus following Sibley & Monroe (1990, 1993).",103870880
8044,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,Grey-crowned Tit,Aegithalos annamensis,"(Robinson & Kloss, 1919)",R,LC,NA,Grey-crowned Bushtit,"Aegithalos concinnus, A. iredalei and A. annamensis (del Hoyo and Collar 2016) were previously lumped as A. concinnus following Sibley & Monroe (1990, 1993).",103870959
8045,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,White-cheeked Tit,Aegithalos leucogenys,"(Horsfield & Moore, 1854)",R,LC,NA,White-cheeked Bushtit,NA,22712008
8046,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,White-throated Tit,Aegithalos niveogularis,"(Gould, 1855)",R,LC,NA,White-throated Bushtit,NA,22712016
8047,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,Black-browed Tit,Aegithalos bonvaloti,"(Oustalet, 1891)",R,LC,NA,"Père Bonvalot's Tit, Pere Bonvalot's Tit, Black-browed Bushtit","Aegithalos iouschistos and A. bonvaloti (del Hoyo and Collar 2016) were previously lumped as A. iouschistos following Sibley & Monroe (1990, 1993).",22736055
8048,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,Rufous-fronted Tit,Aegithalos iouschistos,"(Blyth, 1844)",R,LC,NA,Rufous-fronted Bushtit,"Aegithalos iouschistos and A. bonvaloti (del Hoyo and Collar 2016) were previously lumped as A. iouschistos following Sibley & Monroe (1990, 1993).",103871775
8049,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,Sooty Tit,Aegithalos fuliginosus,"(Verreaux, 1870)",R,LC,NA,White-necklaced Bushtit,NA,22712024
8050,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,Long-tailed Tit,Aegithalos caudatus,"(Linnaeus, 1758)",R,LC,NA,Long-tailed Bushtit,"Aegithalos caudatus and A. glaucogularis (del Hoyo and Collar 2016) were previously lumped as A. caudatus following AERC TAC (2003), Cramp et al. (1977-1994) and Sibley & Monroe (1990, 1993).",103871923
8051,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,Silver-throated Tit,Aegithalos glaucogularis,"(Gould, 1855)",R,LC,NA,Silver-throated Bushtit,"Aegithalos caudatus and A. glaucogularis (del Hoyo and Collar 2016) were previously lumped as A. caudatus following AERC TAC (2003), Cramp et al. (1977-1994) and Sibley & Monroe (1990, 1993).",103871974
8052,PASSERIFORMES,Aegithalidae,Long-tailed tits,NA,NA,Pygmy Tit,Psaltria exilis,"Temminck, 1836",R,LC,NA,Pygmy Bushtit,NA,22712032
8053,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Eurasian Blackcap,Sylvia atricapilla,"(Linnaeus, 1758)",R,LC,NA,"Fauvette à tête noire, Blackcap",NA,22716901
8054,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Garden Warbler,Sylvia borin,"(Boddaert, 1783)",R,LC,NA,Fauvette des jardins,NA,22716906
8055,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Dohrn's Warbler,Sylvia dohrni,"(Hartlaub, 1866)",R,LC,Horizorhinus dohrni,"Dohrn's Thrush-Babbler, Dohrn's Flycatcher, Cratérope de Principé, Príncipe Thrush-babbler, Principe Thrush-babbler",Sylvia dohrni (del Hoyo and Collar 2016) was previously listed as Horizorhinus dohrni.,22709604
8056,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Ruwenzori Hill-babbler,Sylvia atriceps,"(Sharpe, 1902)",R,LC,NA,NA,Sylvia abyssinica and S. atriceps (del Hoyo and Collar 2016) were previously lumped as Pseudoalcippe abyssinica following Dowsett & Forbes-Watson (1993).,103872756
8057,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,African Hill-babbler,Sylvia abyssinica,"(Rüppell, 1840)",R,LC,NA,NA,Sylvia abyssinica and S. atriceps (del Hoyo and Collar 2016) were previously lumped as Pseudoalcippe abyssinica following Dowsett & Forbes-Watson (1993).,103872581
8058,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Bush Blackcap,Sylvia nigricapillus,"(Vieillot, 1818)",R,VU,Lioptilus nigricapillus,"Blackcap Mountain-Babbler, Timalie à tête noire",Sylvia nigricapillus (del Hoyo and Collar 2016) was previously listed as Lioptilus nigricapillus.,22716650
8059,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,African Desert Warbler,Sylvia deserti,"(Loche, 1858)",R,LC,NA,NA,"Sylvia nana and S. deserti (del Hoyo and Collar 2016) were previously lumped as S. nana following AERC TAC (2003), Cramp et al. (1977-1994), Dowsett & Forbes-Watson (1993) and Sibley & Monroe (1990, 1993).",22734413
8060,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Asian Desert Warbler,Sylvia nana,"(Ehrenberg, 1833)",R,LC,NA,NA,"Sylvia nana and S. deserti (del Hoyo and Collar 2016) were previously lumped as S. nana following AERC TAC (2003), Cramp et al. (1977-1994), Dowsett & Forbes-Watson (1993) and Sibley & Monroe (1990, 1993).",103872996
8061,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Barred Warbler,Sylvia nisoria,"(Bechstein, 1795)",R,LC,NA,"European Barred Warbler, Fauvette épervière",NA,22716937
8062,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Layard's Warbler,Sylvia layardi,"(Hartlaub, 1862)",R,LC,NA,"Layard's Tit-babbler, Fauvette de Layard",NA,22716888
8063,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Banded Warbler,Sylvia boehmi,"(Reichenow, 1882)",R,LC,NA,"Fauvette barrée, Banded Parisoma",NA,22716883
8064,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Chestnut-vented Warbler,Sylvia subcoerulea,"Vieillot, 1817",R,LC,Sylvia subcaeruleum,"Fauvette à bas-ventre rouge, Tit-babbler, Rufous-vented Warbler",Sylvia subcoerulea (del Hoyo and Collar 2016) was previously listed as S. subcaerulea.,22716893
8065,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Arabian Warbler,Sylvia leucomelaena,"(Ehrenberg, 1833)",R,LC,NA,"Fauvette de la Mer Rouge, Red Sea Warbler",NA,22716949
8066,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Western Orphean Warbler,Sylvia hortensis,"(Gmelin, 1789)",R,LC,NA,NA,"Sylvia hortensis and S. crassirostris (del Hoyo and Collar 2016) were previously lumped as S. hortensis following Cramp et al. (1977-1994); Dowsett & Forbes-Watson (1993); Sibley & Monroe (1990, 1993).",22735012
